,review_no,discount_text
888881,2107269,sample for review
889011,2969505,Sample provided for evaluation
889094,3109948,"sample size of this some time ago. It was marked as Light/Medium, but the color was very dark. I'm a redhead that glows in the dark, so the color didn't work for me. I did love the coverage, though. I read some of the other review"
889099,446404,free products for my family for more than a decade. I love the OTHER varieties of Barilla Gluten Free
889418,2745897,Sample provided for review
889554,2020962,sample of this book for review
889861,1139930,sample of this product to test and review
890102,2952211,Sample provided for review
890122,3068755,Sample provided for review
890309,2716390,sample for an honest review
890604,2895973,Sample provided for review
891216,1457795,Sample provided for review
891834,1060583,Sample provided for review
891854,1000581,sample to test and write a review
892560,315166,sample for the purposes of review
892587,2410988,sample to review
892625,941149,sample was provided for review
892834,2474937,sample for review
892849,504226,free product for evaluation
893005,2127413,Sample provided for review
893387,3294804,Sample provided for review
893417,2326328,Sample provided for review
893465,2579795,Sample provided for review
893763,1423653,sample for review
893879,229838,"sample only includes the first verse, which is only the female vocalist, I wasn't expecting the male harmony to kick in on the second verse (which I found out, after poking around a bit, is one of the guys from Jars of Clay). Here's the lyrics he sings:<br />I can see you in the snow<br />I can tell that you've been crying<br />There's nothing in these lights that glow<br />that tells you that this world's not dying<br />But underneath these blankets white<br />Glows a warmer kind of light<br />You won't have to sing alone<br /><br />Christ the Savior is born<br />Christ the Savior is born<br /><br />I can see you in the snow<br />Crystal tears have started drying<br />There's something in these lights that glow<br />A Savior in a manger lying<br />Up above these blankets white<br />Are angels filling up the sky<br />A star is burning in the night<br /><br />Jesus Lord...<br />Hallelujah<br />Christ is born<br />Hallelujah<br /><br />It took a while to make out the words in the first set of his vocals, though, because the voices were distinct enough to hear his words along with hers. The sound was nice, but it isn't until the second set of harmonized verses that their voices are distinct enough to hear his words clearly. I wish they would have highlighted his voice more because his lyrics were new, while the female vocals are the same Silent Night lyrics we all know.<br /><br />The vocals aren't very powerful - more sweet and ethereal than strong and bold - but that's what I would expect for any rendition of Silent Night. It isn't a power ballad, but rather a sweet Christmas tune. All in all, it's a nice addition to my Christmas music library. (If this is too syrupy sweet for you, though, check out Third Day's Offerings album. It's not a free"
894121,2308542,sample so I could provide an honest review
894157,82202,"free products to friends who asked my opinions. I've tried them myself, and they provide an acceptable level of service- great news, considering the price. However, after a terrible experience with a well-known security product several years ago (see my other review"
894441,1711703,sample was provided for review
894955,3198074,sample was supplied for review
895012,1440364,sample provided for unbiased review
895070,2662666,sample that I received for this review
895074,2522600,"sample) I was a little excited.  I have three other canes of different types:  folding, two-handled, and metal/medical (as call it).  Each of them are great canes but this one is different and I've always wanted to see if a quad cane would make a difference.  I'm SUPPOSED to use a cane at all times because of severe arthritis in both knees.  However, at 47 I'm still a stubborn patient and don't want to follow directions.  (Or being spoiled, as my sisters would say.)  Nonetheless, this is a great cane.  I was concerned at first.  When I tried adjusting it to make it taller, it came apart.  I had figure out there were TWO push-in buttons.  I pushed them in and got the top connected to the bottom.  Then it got \\""stuck\\"" where the screw section was.  Ugh.  I then unscrewed that part and pushed down some.  It began clicking and I was able to adjust it correctly.  I put the screw back in (it's used to secure it) and off I went.<br /><br />There is a big difference between a quad and single cane.  It was more stable and I felt like it was \\""walking\\"" with me.  I like that I don't have to worry about it falling when I let go of it  I still love, well, like, my other ones but this one will take precedence.  (I don't \\""love\\"" any canes...I refuse to grow up.)<br /><br />I have done review"
895179,2944838,"sample to try, but by the time I received it, I had gotten a new car that already had Bluetooth. I gave it to my neighbor who drives a 1998 Volvo and he's thrilled to be able to use his phone hands-free"
895217,484338,sample for the purposes of review
895789,2039318,sample from manufacturer for review
896164,1917814,sample provided for review
896293,3180339,Sample provided for review
896335,537752,sample of this product for test and review
896657,284530,Sample provided for review
896697,1427608,Sample provided for objective review
897294,235536,Sample provided for review
897596,65871,free products out there but if you service providers offers something for free
897879,1847353,"freebie, but if I had paid full price I'd be a bit miffed. I noticed a comment from the author on another review"
898222,1165567,sample was provided by ARCTIC for testing
898320,1748814,Sample provided at a reduced price for review
898602,1782860,"sample of this product to test and after discovering the all natural aspect, I decided to go ahead and try it. I do not like to take over the counter sleeping pills with Benedryl, and Melatonin gives me bad dreams and panic attacks.<br /><br />I have tried it three ways<br />Out of the bottle - a very intense herbal flavor that made me grimace<br />Made into a hot tea with a teaspoon of sugar - very pleasant milder flavor, citrus overtones<br />Mixed in an ounce of diet Rootbeer or seven up - a quick drink, tasted good (my husband even approved this one)<br /><br />I have discovered that I only need a single dose (2 Tbs) to relax enough to sleep at night, although the entire bottle does not leave me sleepy in the morning.<br /><br />In fact, I never felt sleepy while taking this product at all, just relaxed enough to let go and drift off.<br /><br />While I received my sample for free"
898614,3435506,Sample provided for review
898768,1385024,sample for testing
898849,2783062,"sample, not expecting much from it.  Pitched as a men's razor, presumably for the face, I couldn't comment - but I inadvertently found it to be an excellent razor for the bikini area.<br /><br />I've used men's razors, multi-blade razors, etc. before, so I don't think that's why this razor is as good as it is.  I have no idea why the vibration works the way it does, but when used in the bikini area, it gives incredibly smooth, irritation-free"
898913,792513,sample to test and review
899040,1992316,Sample provided for review
899404,579496,Sample provided for review
899983,2285236,sample was provided for review
899992,295556,sample was given for an unbiased review
900831,2568931,Sample provided for review
900881,627979,Sample provided for review
901048,3145963,Sample provided for testing
901519,167127,Sample provided for review
901578,1768145,Sample provided for objective review
901588,2286080,sample of this product to facilitate my review
901653,1849071,"sample, I'm that confident in this author.  I'm not quite sure how he did it but he managed to encapsulate the entire thread that runs through all the novels into this one book and did so without boring us avid fans with rehashing the past.<br /><br />Blake has an enthralling writing style that draws the reader deep into the story, feeling very much a part of it.  If ever an author transported you to a new universe while reading, he is just such a writer.  I read a LOT of books, around 75-100 a year and Blake builds those universes better than just about anyone.  There are a couple of indie authors who do it almost as well (Crouch and Locke come to mind) but even they can't quite reach the level of richness that Blake brings to the story.<br /><br />If you've never read Blake, I would personally buy the entire series right now and start with book one.  Since you're not likely to listen to some unknown writing a review"
902035,1895874,Sample provided for review
902202,2246167,free product from HandAcc for review
902282,3469898,sample of these to test for my unbiased review
902524,316466,Free products. It turns out that Petsmart (where I normally purchased the replacement trays - their prices were less than Amazon's) had stopped carrying real ScoopFree
902625,2435621,free item to review
903185,338742,sample for evaluation
903292,1191879,Sample provided for review
903294,2204084,sample of this selfie stick to examine and test for my review
903489,492630,sample was provided for review
903750,1287836,"sample. Each seemed to be fresh, easy for them to chew, and they liked them. Digestive woes after about 10 days caused me to stop giving them to them, but I recognize that my dogs have sensitive stomachs. Many dogs may be able to digest them just fine. I'll go into this further at the end of my review"
903960,992107,sample these for free
904014,1979987,sample of this product to facilitate my review
904173,1644201,sample was provided to me for review
904473,1577576,sample was provided for unbiased review
904511,2946134,sample from saliva left on a cup to put a serial killer on death row.<br />3.Frozen In Time- A 23 yr old young woman pulls over to the side of the free
904535,860572,Sample provided for review
905490,1610600,sample of Lisse et Naturel Hyaluronic Acid serum for testing
905516,2482227,sample of this Lavender oil to try and review
905662,1307862,sample of the 8-SMD version for an evaluation
905808,3342753,sample for review
906032,862722,sample to facilitate this review
906969,657137,Sample provided for review
907001,1423153,Sample provided for review
907017,2800471,sample for the purposes of review
907157,497960,"sample provided by the Amazon Vine program.<br /><br />We (my 12-yo son and I) tested this headphone on an XBox 360.  As a comparison, we also have a wired Turtle Beach headphone.  I can say that going wireless makes all the difference in the world.  The wired one is this mess of cables (between the XBox and the headphone, between the controller and the headphones.)  This appears to be a pleasure.  Setup was easy.  We connected the base to our XBox via the optical cable, and it appeared to just work.  The sound is good, and we don't seem to have any interference with other 2.4 GHz devices.  I don't anticipate using this with a phone or table, but pairing them via bluetooth with my iPhone also just worked, and had good sound.<br /><br />The only thing we haven't been able to test yet is chat over the XBox.  This comes with a small dongle (they call it XBA) that plugs into the bottom of the XBox controller, which provides the wireless chat capabilities.  Two quick emails to Turtle Beach support, and a new dongle is on the way to us, but we haven't yet received it yet.  I'll update this review"
908027,2587181,"sample DVD\\"" from the folks at VEI (who took over releasing it after CBS Home Video stopped operating.). They have been releasing the individual seasons (each in two parts) and there are plenty of review"
908099,1226737,sample in exchange for an honest review
908106,1888208,Sample provided by Viva Labs for review
908136,429806,sample for review
908193,3213368,"sample K-Cups to start you off.<br /><br />THE MACHINE BUILD<br />The machine itself is made out of lightweight plastic. You don't get the sense that it is flimsy, but it isn't as robust as the Cuisinart SS-700 which has a lot more heft and will definitely stay put on your kitchen counter.  This is doubly true for the lift handle and brew head of the Mr. Coffee (the thing you lift up so that you can put the K-cup inside the machine).  The plastic here is thin and will definitely not hold up to abuse.  This makes this more suitable as a home machine than it does for use in a small office, where the machine would likely take more of a beating.  The lighter construction does not affect the taste of the coffee at all and is probably a cost cutting measure.  (At the time of writing this, the Cuisinart model costs more than twice of what is being charged for the Mr. Coffee model.)  However, it may mean that the Mr. Coffee machine may not have quite the longevity of the Cuisinart.<br /><br />A number of cost saving measures were taken to keep the price down.  Options for coffee are limited.  Servings come in only two sizes: 6 and 10 ounces.  (The Cuisinart has 5 sizes between 4 and 12 ounces.)  There is no LCD display and there are no strength settings for the coffee.  There is no option for a filter within the fluid reservoir (another Cuisinart feature) and there is no special indicator that the fluid level is too low other than a blinking light around the 'Brew Now' button. (The Cuisinart flashes and LCD message.)  The reservoir itself is rather small--about 24 ounces.  Also missing is a cool light that trans-illuminates the fluid reservoir when it is too low.  The most frustrating low-end feature is that the cord is very short, meaning that your Mr. Coffee machine has to be within about a foot of an outlet.<br /><br />TASTE OF THE COFFEE<br />Still, none of this seems to matter when it comes to the taste of the coffee.  It would be nice to have an 8 ounce setting, but it isn't really necessary.  In my opinion, at sizes above 10 ounces the coffee is just too weak, so larger sizes aren't all that useful when using K-Cups.  Those who like stronger coffee tend to use two K-Cups per cup of coffee on a four or six ounce setting to get that motor oil consistency that they so love. I have never noticed any difference in using a Keurig systems that allow you to change brew strength.  The determining factor for the strength of the coffee seems to be limited by the physics of the K-Cup itself.Blinking lights and fancy indicators are fun, but are hardly necessary in such a simple machine.<br /><br />BREWING COFFEE<br />For those not in the know, to brew the coffee you lift the brew head by the handle, place the K-Cup in the well, and close the apparatus.  You select the serving size and then hit the 'Brew Now' button.  The water is heated and the coffee is brewed quickly (about 3 minutes). The tiny reservoir only holds about 24 ounces of water, meaning that you will refill it frequently.  If your cup is shallow (think tea cup) there will be a little, initial splashing as the coffee shoots out the bottom.<br /><br />Just so you know, K-Cups are not necessarily the best way to brew coffee.  I prefer using a French Press to get the most out of the bean.  (Yeah.  I know.  I'm a coffee snob.)  And if I want to brew a quick pot of coffee that still tastes better than one from a K-Cup, a standard, drip coffee maker does just fine, thank you.<br /><br />But you can't beat the K-Cup for convenience.  K-Cups produce a far better coffee than any instant I've tasted (including that fancy Starbucks VIA stuff) and it is the best kind of coffee you can make on the go without any fuss or muss. It's far faster than a French Press, less finicky, and easier to clean up.  It doesn't take the prep needed for drip coffee or take all that time.  And if you have a family where everyone has a variety of tastes, K-Cups allow everyone to stock their favorite flavor.<br /><br />ECOFRIENDLY AND ECONOMICAL K-CUPPING<br />If you want to keep things more environmentally sound, there are a number of solutions available for reusable inserts that work just like the K-Cups but that can be filled with your favorite coffee.  This way you don't have to increase the number of used K-Cups that are taking over our landfills today.  This may take away some of the convenience factor but is still far faster than other methods to brew coffee.<br /><br />A reusable Keurig Cup also decreases the expense of the K-Cups. A pound of coffee yields somewhere around 72 ten-ounce cups of coffee.  On Amazon (on the day of the writing of this review"
908379,684423,Sample provided for review
908455,2407035,Sample provided for review
909405,1183253,sample of this item for my honest review
909711,2829686,Sample provided for review
909725,149748,"sample sounded interesting.  It wasn't long before I realized that I'd listened to the song more often than music I had paid for.  Still, I didn't follow up with any other tracks until this CD showed up as an Amazon recommendation based on my purchase history.  I sampled all the tracks and decided it was worth an $8.99 download. If I'd known how much I would end up loving it, I would have saved the cost of the download and ordered the CD instead, which is what I ended up doing.      Other review"
909800,3210303,Sample provided for review
910121,1507460,sample of this to try out and review
910167,2588028,"freebie' this addition is a gem!  Since it represents a single artistic inspiration, it is in that way superior to the collection that we paid for!mond Ababio, here with Lewis Wadawa, get things going with \\""Tsutsu Tsosemo\\"" and Bobby Benson (spellings seem to vary)offers his famous \\""Taxi Driver.\\"" I found the rest of the album to be interesting listening.  The cosmopolitan way in which African musicians comb the world listening for sounds and influences to be dazzling in comparison to the American forms I grew up with.<br /><br />For an equally great education, listen to the 8-cut bonus CD that comes packaged with this offering: \\""Seprewa Kasa\\"", featuring the stringed instrument mentioned above--called in the brief description on the package 'the soul of Highlife.'  The vocals here show more of the Gospel roots of the movement coupled with an acoustic music tradition based on jazz fusion.  Percussion here seems particularly traditional, full of movement and complexity.  I agree with a previous review"
910204,3238116,Sample provided for testing
910867,846178,sample was provided for review
910964,1612588,Sample provided for review
911108,259743,Sample received for review
911598,3179191,sample provided for honest review
911769,2762054,sample for review
911825,354771,sample at a discount for an evaluation
911977,1339500,sample of tea for free
912092,2158337,sample of thinkThin Caramel Fudge to review
912123,1075292,"free product, the leading one of which is based on a flawed premise, lack of comparison to an actual published text.<br /><br />This review"
912138,1175337,Sample provided by manufacturer for review
912154,2541433,"sample: \\""When the chips are down, the buffalo's empty.\\"") The other half is a listing of the author's other books (and he's written a lot!).  Okay, I confess I did chuckle a few times, and since I downloaded this on a day when it was free"
912293,2683771,sample of this product to facilitate my review
912343,3044136,Sample provided for review
912705,1799103,Sample provided for review
912827,587127,"sample laminating pouches, if any.  Someone was asking me why anyone would need to laminate their business cards, but why not?  My brother is starting a new business and if he hands out a simple business card it might get lost in the shuffle.  If he has a laminated one, it will stand out and be tucked in a secure place for when needed.  A laminated card can make the difference between getting an extra client or letting the job go to someone else.<br /><br />FEATURES:<br /><br />►  Business Card Size, Laminates Items Up to 2” x 3.5”<br />►  5 mil Thickness, 100 Pouches<br />►  Photo Safe (PAT Tested & Approved)<br />►  Water-resistant and easy wipe-clean surface<br />►  Glossy finish brightens colors and enhances clarity<br /><br />These pouches are exactly what we’ll need to get the job done.  A well-centered, standard business card, once laminated, will have about 1/8” border.  I’m talking about a card made by Vista, an online printer that many people use.  The card looks great and does stand out from the crowd.  The colors pop and obviously looks like one is trying to be a bit more professional than the next guy.  Every little bit counts.  Simply remember to put the sealed end into the laminator first.<br /><br />The 5 mil pouches made the business card flexible, but not stiff.  For general purposes these are perfect.  Obviously if you need the 7 mil, which are very stiff you probably need them for corporate identification purposes or things like licenses.  Most of us don’t need or want that type of laminated product, especially with a business card.  Looks sharp, works great.<br /><br />BLACK & DECKER LAMINATING POUCHES:<br /><br />[[ASIN:B00BY3LL32 TimeShield Laminting Pouches - 4” x 6” Photo Size - 25 Pack (LAM4X6-25)]]<br /><br />[[ASIN:B00BY3LNFS TimeShield Laminating Pouches - 5” x 7” Photo Size - 25 Pack (LAM5X7-25)]]<br /><br />[[ASIN:B00BY3LNHG TimeShield Laminating Pouches - Business Card Size - 100 Pack (LAMBUS5-100)]]<br /><br />[[ASIN:B00BY3LJ8Y TimeShield Laminating Pouches - Legal Size - 25 Pack, 3 mil (LAMLEGAL3-25)]]<br /><br />[[ASIN:B00BY3LJ9I TimeShield Laminating Pouches - Letter Size - 25 Pack, 3 mil (LAMLET3-25)]]<br /><br />[[ASIN:B00BYRPWME TimeShield Laminating Pouches - Luggage Tag Size - 10 Pack (LAMLUG5-10]])<br /><br />[[ASIN:B00BY3LNF8 TimeShield Laminating Pouches - ID Badge Size - 10 Pack (LAMID5-10)]]<br /><br />[[ASIN:B00BY3LL3W TimeShield Laminating Pouches - Letter Size - 25 Pack, 5 mil (LAMLET5-25)]]<br /><br />Sample provided for review"
912916,2254145,Sample provided for review
912985,2418992,sample for review
913025,2693659,sample was provided for review
913352,1513681,sample of this item to examine and test for my review
913396,1971199,sample was provided for review
913472,1106292,"sample foreshadows the narrative of the album.  DJ Toomp's production characterizes the southern rap idiom intact with solid production work with buttressing hip-hop drum programming, present bass line, and southern rap organ.  T.I. Scores memorable moments, most notably the  catchy hook which both asserts and confirms T.I.'s status as a trouble man.<br /><br />\\""G Season\\"" featuring Meek Mill essentially writes off fake folk who aren't true gangstas but just wannabes. Cardiak delivers exceptional production work noted for its malicious brass and hard drums. T.I. asserts himself with a fiery delivery while Meek Mill complements him well on a sound second verse. \\""G Season\\"" proves a strong start for Trouble Man.<br /><br />DJ Toomp's top-notch production returns on the anthemic \\""Trap Back Jumpin\\"", easily T.I.'s attempt at 2006's \\""What You Know\\"". T.I. asserts it is time for him to show how things are really done, hence his addictive, aggressive hook: \\""It's time to get trap back jumpin/get [...] back poppin [...], I show these sucka [...] how it go...\\"" Always on autopilot, T.I. delivers a valedictory effort on \\""Trap Back Jumpin\\""<br /><br />\\""Wildside\\"" initiates with a skit, followed by a lush, southern rap cut sporting an equally lush hook.  T.I. delivers two solid verses while A$AP Rocky closes out on a third.  Less stellar than \\""Trap Back Jumpin\\"", \\""Wildside\\"" still packs some punch.  On the uptempo  \\""Ball\\"", T.I. & Lil Wayne aim straight for the club celebrating the excesses of partying: \\""This club so packed, [...]so drunk [...] I got a bottle, got a model [...]ball, ball, ball!\\"" T.I.'s verses are similarly irresponsible while  Lil Wayne adds to the carefree"
913592,1673512,Sample provided for review
914190,3502796,Sample provided for review
914618,2035981,Sample for review
914697,2961149,free product for the purpose of my review
914733,2533984,Sample provided for unbiased review
914988,158939,Sample provided for review
915012,2397812,sample was provided for testing
915063,2331112,"sample I received was directly from Mipow, and I was given it to consider testing"
915558,2554163,Sample provided for review
915615,1792609,Sample provided for review
915656,3119830,sample for inspection and review
915837,421693,Sample provide for review
916460,2139027,"sample of these, for the purpose of testing"
916698,2878049,free product for the purpose of my review
916908,207379,sample of this product in exchange for an honest review
916945,2523112,Free product review
917038,2050966,sample to review
917322,3282443,"free product & when they took out OCTINOXATE they replaced it with ALUMINA AKA aluminum!!  No thanks... this company is deceptive & there is nothing &#34;organic&#34; about them... not for me, my baby, or anybody in my family.. SMH!!<br /><br />Oh, by their own response & admission it IS a CHEMICAL sunscreen...<br /><br />&#34;For those who prefer to not use chemical sunscreens we offer our Pure Mineral Sunscreen Stick 50+ SPF and also our Pure Mineral Sunscreen Lotion 30+ SPF (this is also a great option for grown ups with super sensitive skin!). Please feel free"
917821,377893,sample in exchange for a review
917858,3101906,sample of these glasses to test for my review
917877,2363476,sample at a discount for an evaluation
918111,2382891,sample I received for review
918523,969648,sample for review
918735,747645,Sample provided for review
919200,393067,sample was provided by the manufacturer for review
919412,2532303,Sample provided for honest and unbiased review
919576,2978143,sample for review
919701,363905,sample for review
919799,865774,sample was provided for review
919847,3215237,"sample scrub it came with, then tried it with Regenerist scrub I ordered with it.<br /><br />Frankly, I'm not impressed.  The brush head is pretty small.  The power is minimal.  Press it too much on your skin and it will stop spinning.  Doesn't take much pressure.<br /><br />I'd read other review"
920712,2093201,sample for the purposes of writing a review
920714,1757768,Sample provided to me by Easy Acc for review
920869,2948944,Sample provided for review
920884,490167,Sample provided for review
921027,2200693,Sample provided for review
921102,351235,Sample provided for review
921227,848547,sample of this item for free
921232,636078,free product in exchange for an honest and impartial review
921870,2094596,sample of this product in order to put it to the test so that I could give it an honest review
922121,2042650,sample to use and review
922141,1857542,Sample provided for review
922277,3369440,sample for the purpose of review
922322,1573813,sample was provided for testing
922405,2603018,"Sample provided for an unbiased, honest review"
922463,2917848,sample I received for testing
922479,2311639,"sample (\\""Tiden Flyver\\"").  Over a lush, west coast characteristic sound,  Lamar is on autopilot, admitting his improprieties while also admonishing anyone to attempt to block his individuality as a person and artist. Lamar's vocal inflections and athletic flow help to make this cut another brilliant contribution.<br /><br />\\""Backseat Free"
922696,3385660,sample for review
922907,1773718,Sample provided for review
923148,3235552,sample of this product for review
923260,1598850,Sample provided for review
923555,3053262,Sample provided for review
923689,1864671,"sample other channels.  It's not.<br /><br />Support -  I've not \\""recently\\"" visited the website that is noted in their setup instructions.  Instructions recommend going to their website if you wish to add channels that may not be listed in a normal setup.  Let's say your friend down the street is streaming something from his house and you want to easily add it to your favorites, you'd input this information on the VTech website for your radio.  Nada!  I found the Vtech website to be of no benefit to the customer.  Useless...and frustrating for what should be a pretty simple procedure.  Additionally, I found the website (likely in China) wanting wayyy too much information.  Thumbs down.  Great radio.  Poor company support for this product.  Your browser...Firefox or Google Chrome may also warn you on this site.<br /><br />=====<br /><br />SETUP --  The first thing to remember is that this radio requires you have a wireless Internet connection (router) and in close proximity in order to work properly.  More important, you have to know the \\""name\\"" of your wireless Internet network (Not the brand name - but the name you or someone assigned to the network when it was initially set up) AND you'll also need to know the \\""password\\"" for your wireless network.  Without this information, you'll not be able to proceed.  When you have (1) \\""network name\\"" and (2) the \\""password\\"" your setup is relatively easy.  If all this makes you feel a little uncomfortable, call your neighborhood teen computer wizard and they'll have it humming for you in no time ---but they'll still need to know network name and password. (**make sure they don't write it down and put it in their pocket or you'll most likely have uninvited guests on your network very soon thereafter**)<br /><br />GREAT SOUND - Being one who is very particular when it comes to \\""good\\"" sound from a radio, I'd have to rate the Vtech IS9181's audio fidelity outstanding.  Very impressive.  Exceptional in fact...though you should remember that audio streams originating from different stations across the world will have differing levels of quality and volume. Otherwise, not everything you hear is going to be of \\""exceptional\\"" audio fidelity.  Different stations (individuals) stream at different rates and their fidelity will not be the same.  For those with a big budget (stations in major cities -  The WBBM's, the WBZ's or KCBS's of the world make it sound like they're in the room with you --- reason is ... they can afford to \\""fill that (Internet) pipe\\"" with all the data that provides this truly awesome sound you'll hear.  Remember, small operators and even many radio stations in mid-size cities often stream at a \\""lesser rate\\"" due to smaller budgets.  When they do, the result is a lower quality (and less intense) signal to your Internet radio.  So...don't be surprised if you find yourself adjusting the volume if you scan through your favorites stations frequently.  I did not find this to be troublesome, however, as I'm not continually changing stations.<br /><br />STATION AVAILABILITY -  There are just tons of stations/streams from which to choose on the Internet.  They are NOT all listed in your radio, though there are many from which to choose.  You can go to your Vtech website account to add stations you may not initially find available.  I have not yet tried this feature so don't know how well it works.  If your neighbor down the street is streaming a show to the Internet you'd like to listen to, I presume you'd go to your VTech online account and plug in his Internet streaming address, then it would be available as a selection on your radio.  If there's anything troubling about stream availability is that many stations' (in smaller cities) who are listed, are not reliable when it comes to a constant and \\""reliable\\"" signal for your radio.  You'll often see on the VTech's screen, after it searches for a signal, \\""Check back later. \\"" OK --  This is not good if you want to count on this station to supply your entertainment/information with certain reliability.  I was surprised to find a number of rather well-known radio stations from around the U.S. falling down on this count.<br /><br />REMOTE CONTROL - Vtech decided to go the \\""chintzy\\"" route on their remote control for this radio.  Unimpressive... and I can see where this thing, when subjected to much use, could be troublesome in no time.  Only thought by engineering in this instance seems to have been to \\""keep it cheap\\"" ...and they succeeded.  Too bad, this is an otherwise well-designed radio that works and sounds great.  The remote control has those awful membrane buttons and overall.. just feels like junk.<br /><br />MOST PROBLEMATIC on the VTech IS9181 - Disappearing Favorites - Don't take my word as gospel on this as I have so little experience in using this radio.  Check some other review"
923908,2535282,Sample provided for review
924276,636203,Sample provided for review
924503,2029696,sample provided for testing
924701,1547280,sample for evaluation
924746,570141,"sample images. The SpyderCheckr24 software needs to be downloaded and installed before you can do anything, but you can take your test shots of the side with 24 color chips any time you want. Simply set the card so that the white chip is the upper right, and the brown chip is the lower left. Position the card at about 45 degrees with even lighting, and ensure that the card is not filling the frame. Figure you want to have an inch or so around all edges, at least. This is because the corners of most lenses are the softest and show the most distortion. You will crop down to the card in your usual editing software - Lightroom in my case. Nothing of the area around the card should show.<br /><br />The image needs to be white balanced within Lightroom (or whatever photo editor you're using). Basically follow your usual workflow to clean up a photo, and then save it somewhere as a TIFF. You will open this in the SpyderCHECKR24 software. From there, you will adjust the color blocks that are laid over your original photo, attempting to get each one as close to the center of each color chip. You can only adjust for placement, width, and height of the entire selection of colors, not each individual one. You also have the option of shifting the color mode from Saturation, which is best for general photos, to Colorimetric, which the manual states is for &#34;the most literal results,&#34; useful if you're photographing a company's product that feature specific, and often trademarked, colors, and Portrait, which will slightly desaturate your model's skintone in your final image. I opted for Saturation. Save your calibration with a name you will recognize, and then head back to Lightroom.<br /><br />Once in Lightroom, simply open a photo, go to the Develop tab, and from the left panel of options, go to Presets, then User Presets (the last option in this pane, and your calibration should be available. Select it, and see the results reflected in your photo.<br /><br />As for the outcome, well, I've been made aware by SpyderCheckr24 that I'm already pretty good at white balancing. My photo only changed very slightly. Granted, I have not tried this on a wide variety of photos yet, but for the purposes of this review"
924934,2286782,Sample provided for review
925496,174636,Sample provided for review
925504,2070318,freebies but they always say cheap isn't better. The book preview
925675,3446708,Sample provided by manufacturer for testing
925810,3279636,Sample provided for an honest review
925821,3364938,"sample to evaluate, so I can only tell you what they claim. Sorry, but, the new model looks and sounds terrific - it is called the StandCharger by Skiva.<br /><br />This is an awesome charger that exceeds even the hype in their advertisement. Finally, I'm able to remove two power bars and charge all of my devices from one location.<br /><br />I didn't understand the great value until I received it and started connecting my devices. My aha moment came when I figured out I could disconnect all plugs from the plug ins, and connect each smart device to the OctoFire with usb cable.<br /><br />Works as Advertized. OctoFire is the Perfect Machete for the Smart Device Cable Jungle.<br /><br />I should add, I was provided a free"
925993,467045,Sample provided for review
926074,1424806,sample was provided for testing
926208,1780490,sample for review
926304,825414,sample was provided for review
926521,2704745,sample for review
926581,556714,sample provided for review
926629,2122514,sample of this product to facilitate my review
926666,2563162,"sample. Accordingly, I began tracking down the samplers that Metropolis puts out at least once a year (but normally twice a year, under one name or another) and listening to the things that they arranged on them. Something I discovered through this was that (1) I really like the place they've taken electronic/EBM/industrial/dancefloor music to and (2) that I really enjoy the way they construct their listening vices into such wondrous packages. A little of everything is always included in those portions of listening pleasure, from the heavier worlds of electronic disdain (although these are more noticeable on the Electropolis releases that on Critical Mass) to the more somber EBM ballads that make the mind dance, and this actually does what a sampler should do. it provides a person of an overview of the label and the types of sounds it carries.<br />On this release, I found myself actually fond of the Dos Ich release (not normally a band for me) and the Suicide Commando sounds (again, not normally in my EBM fields of play). Both are a tad on the side of rudimentary vocals, not really to my liking most of the time, but these two songs were actually pretty good this time around. Funker Vogt's Under Deck is good here, but I like the album song better because the remix rends the beat a little while playing with it. Still, a song about being aboard a vessel in the midst of warfare is fine, and better still when its set to sounds that capture the event in a strangely understandable way. Velvet Acid Christ's contribution was also really good, showcasing the band when it was still in the dark forms of drug-related recording and not yet outside of this box, giving the listener something to enjoy as well. Haujobb's Subsonic is less experimental than most of their normal work and more electronic, keeping a high BPM count and actually constructing a masterful combination of beats and lyrics, Informatik's Oblivion is one of the turns in the road that took the band away from the voxed lyrics it was so well known for in the past while keeping a more growling sound to their EBM sounds that are a bit more dancefloor oriented than before, and Icon of Coil's release is good, but their first album actually produced a more thought-provoking look at anger and all its many formations in the mind. Wolfsheim, sometimes compared to Peter Murphy in vocals but unjustly so, is always at the top of their game and anything they provide will have qualities in it that are commendable (although a bit slower paced for some people and the opera mixtures in some songs a bit too over the EBM top), Fictional is a Funker Vogt sideproject that lets them play a little more with sounds outside of warfare and is more electronic than harsh in this song Blue Lights, and Mesh's Because it Scares Me is one that is slowly paced but that is worthy of a listen as well.<br />In the realm of samplers, I'd have to give this Critical Mass release a hefty approval rating because it has some many songs that can be listened to over and over again. While not exactly introducing me to many bands I hadn't heard of, it worked as a preview"
926891,3313722,sample of this scarf so that I could personally examine it for my review
928106,2176667,Sample provided for review
928176,2302005,Sample provided for review
928431,2912104,sample of this product for review
929074,1673847,sample and that the opinions are my own. I tested this for 10 days before review
929090,2410762,"sample spray of Shalimar. It was instant love all over again. I didn't buy it, clearly because of the cost. Looking to see if I might beat that outrageous price on Amazon, I stumbled upon Professor Kingsley's versions of famous scents. Based on largely rave review"
